Bar0, 0.45740458015267155,,0.267480916
Bar1, 0.7248854961832061,,
Bar2, 0.4427480916030532,,0.267480916
Bar3, 0.7102290076335875,,
Bar4, 0.37312977099236627,,0.27480916
Bar5, 0.6479389312977097,,
Bar6, 0.38778625954198465,,0.260152672
Bar7, 0.6479389312977097,,
Bar8, 0.4390839694656486,,0.282137405
Bar9, 0.7212213740458014,,
Bar10, 0.3914503816793892,,0.278473282
Bar11, 0.6699236641221372,,
Bar12, 0.4317557251908395,,0.252824427
Bar13, 0.6845801526717556,,
Bar14, 0.3767938931297709,,0.25648855
Bar15, 0.6332824427480914,,
Bar16, 0.39877862595419833,,0.263816794
Bar17, 0.6625954198473281,,
Bar18, 0.41343511450381665,,0.260152672
Bar19, 0.6735877862595419,,
Bar20, 0.14229007633587773,,0.150229008
Bar21, 0.2925190839694655,,
Bar22, 0.1496183206106869,,0.17221374
Bar23, 0.32183206106870205,,
