Bar0, 0.40959852982753725,0.279191405
Bar1,0.688789935,
Bar2, 0.4113655640373195,0.277424371
Bar3,0.688789935,
Bar4, 0.31241164828951073,0.219112242
Bar5,0.53152389,
Bar6, 0.30711054566016377,0.245617755
Bar7, 0.5527283008199037,
Bar8, 0.37779191405145585,0.261521063
Bar9, 0.6393129770992365,
Bar10, 0.38486005089058506,0.266822166
Bar11, 0.6516822165677125,
Bar12, 0.4042974271981905,0.22264631
Bar13, 0.6269437376307603,
Bar14, 0.39722929035906124,0.243850721
Bar15, 0.6410800113090188,
Bar16, 0.3742578456318912,0.273890303
Bar17, 0.6481481481481481,
Bar18, 0.3919281877297143,0.249151824
Bar19, 0.6410800113090188,
Bar20, 0.1834181509754027,0.229714447
Bar21, 0.4131325982471018,
Bar22, 0.14807746677975667,0.194373763
Bar23, 0.3424512298558098,
