Bar0, 61.60857908847185
Bar1, 59.03485254691689
Bar2, 78.98123324396782
Bar3, 77.4798927613941
Bar4, 69.32975871313673
Bar5, 66.32707774798928
Bar6, 53.02949061662198
Bar7, 50.02680965147454
Bar8, 72.76139410187668
Bar9, 68.90080428954423
Bar10, 64.82573726541554
Bar11, 63.53887399463807
Bar12, 35.44235924932977
Bar13, 33.51206434316353
Bar14, 63.75335120643432
Bar15, 61.394101876675606
Bar16, 51.7426273458445
Bar17, 49.3833780160858
Bar18, 27.29222520107239
Bar19, 26.00536193029491
Bar20, 58.60589812332441
Bar21, 54.95978552278821
Bar22, 40.58981233243968
Bar23, 38.44504021447721
